Wavelength [nm],Sitka,Broadleaf,Grass
799,1936.48,2792.224,3752.44
800,1937.152,2793.088,3755.36
801,1937.572,2793.632,3756.76
802,1938.048,2794.152,3757.44
803,1938.832,2794.808,3758.48
804,1939.42,2795.104,3761.08
805,1939.924,2795.632,3762.96
806,1940.428,2796.328,3763.88
807,1940.764,2796.672,3765
808,1941.268,2797.08,3766.72
809,1941.8,2797.52,3767.96
810,1942.192,2797.928,3767.88
811,1942.668,2798.224,3769.6
812,1943.116,2798.712,3771.6
813,1943.536,2799.416,3773
814,1944.096,2799.896,3774.2
815,1944.74,2800.36,3775.44
816,1945.328,2800.792,3776.84
817,1945.832,2801.224,3778.28
818,1946.504,2801.88,3780.28
819,1947.288,2802.568,3782.04
820,1948.044,2803.136,3783.28
821,1948.576,2803.584,3785.12
822,1949.304,2804.088,3787.12
823,1950.2,2804.688,3788.84
824,1950.816,2805.304,3789.84
825,1951.376,2805.768,3790.16
826,1951.964,2806.208,3790.8
827,1952.636,2806.744,3792.32
828,1953.196,2807.144,3793.4
829,1953.756,2807.52,3794.24
830,1954.372,2807.928,3795.04
831,1955.016,2808.36,3796.28
832,1955.716,2808.704,3797
833,1956.5,2809.112,3798.12
834,1957.284,2809.696,3800.64
835,1958.124,2810.04,3801.08
836,1958.768,2810.48,3802.12
837,1959.3,2811.176,3804.84
838,1960.14,2811.768,3805.8
839,1960.924,2812.152,3806.72
840,1961.708,2812.512,3808
841,1962.716,2813.192,3809.36
842,1963.64,2813.784,3811.08
843,1964.48,2814.224,3813.04
844,1965.348,2814.552,3815
845,1966.02,2814.936,3817
846,1966.86,2815.544,3818.52
847,1967.952,2816.176,3819.8
848,1968.876,2816.368,3821.88
849,1969.856,2816.752,3823.36
850,1970.668,2817.312,3824
851,1971.144,2817.832,3824.24
852,1971.732,2818.08,3825.28
853,1972.404,2818.464,3826.76
854,1973.048,2819.032,3828.04
855,1973.636,2819.128,3828.36
856,1974.28,2819.248,3829.8
857,1974.924,2819.512,3831.88
858,1975.372,2819.872,3833.2
859,1976.24,2820.44,3834.92
860,1977.136,2820.848,3836.64
861,1977.752,2821.008,3837.96
862,1978.06,2821.44,3839.16
863,1978.564,2821.912,3841.04
864,1979.264,2822.36,3842.92
865,1979.74,2822.848,3843.48
866,1980.412,2823.232,3845.48
867,1981.028,2823.48,3848.24
868,1981.364,2823.648,3850.36
869,1981.784,2824.008,3850.8
870,1982.12,2824.368,3850.56
871,1982.428,2824.624,3850.72
872,1982.736,2824.744,3852.6
873,1983.1,2824.792,3853.56
874,1983.408,2824.896,3854.52
875,1983.632,2825.184,3856.8
876,1984.22,2825.68,3858.28
877,1984.752,2826.072,3859.32
878,1985.06,2826.224,3860.44
879,1985.368,2826.272,3862.2
880,1985.676,2826.344,3863
881,1985.928,2826.536,3863.56
882,1986.18,2826.88,3865.08
883,1986.6,2827.248,3866.4
884,1987.02,2827.552,3868.84
885,1987.328,2827.776,3872
886,1987.608,2828.16,3871.32
887,1987.412,2828.12,3870.56
888,1987.132,2828.064,3870.96
889,1987.44,2828.728,3872.84
890,1987.552,2828.784,3875.28
891,1987.58,2828.688,3877.92
892,1987.58,2828.824,3880
893,1987.16,2828.928,3879.2
894,1986.908,2828.928,3878.64
895,1986.908,2828.928,3879.84
896,1986.992,2829.208,3883.08
897,1987.048,2829.232,3883.84
898,1987.076,2829.184,3883.04
899,1987.076,2829.256,3882.84
900,1986.908,2829.232,3884.8
901,1986.74,2829.208,3885.96
902,1986.572,2829.368,3886.28
903,1986.292,2829.824,3888.6
904,1986.236,2829.904,3889.76
905,1986.208,2829.84,3889.96
906,1985.9,2829.88,3890.2
907,1985.676,2829.784,3890.88
908,1985.424,2829.576,3891.64
909,1985.088,2829.488,3892.36
910,1984.752,2829.944,3892.96
911,1984.696,2830.176,3893.72
912,1984.808,2830.28,3895.08
913,1984.892,2830.568,3896.96
914,1984.808,2830.488,3896.64
915,1984.5,2830.448,3896.36
916,1984.024,2830.552,3897.04
917,1983.52,2830.312,3896.68
918,1983.156,2830.144,3895.4
919,1982.904,2830.2,3894.84
920,1982.624,2830.448,3896.36
921,1982.12,2830.24,3895.64
922,1981.476,2830.072,3895.8
923,1980.692,2830.04,3897.6
924,1979.488,2829.464,3896.36
925,1977.388,2828.264,3892.88
926,1975.092,2826.544,3886.96
927,1973.86,2824.536,3878.2
928,1973.384,2822.776,3866.12
929,1973.608,2821.792,3856.52
930,1974.28,2821.992,3854.44
931,1974.672,2823.528,3862.52
932,1974.252,2825.224,3873.52
933,1972.908,2826.4,3883.76
934,1970.864,2826.6,3890.8
935,1968.036,2825.936,3887.76
936,1965.264,2824.648,3878.52
937,1962.996,2823.16,3868.16
938,1960.84,2822.328,3860.88
939,1958.908,2821.512,3856.52
940,1957.004,2820.568,3853.56
941,1954.932,2819.672,3849.56
942,1952.664,2818.904,3845.92
943,1950.256,2818.008,3841.92
944,1947.736,2816.848,3836.96
945,1944.992,2815.776,3830.96
946,1941.94,2814.56,3826.36
947,1938.692,2813.072,3821.52
948,1935.528,2811.376,3812.24
949,1931.496,2809.8,3804.56
950,1927.1,2808.152,3797.84
951,1922.648,2806.216,3790.16
952,1917.748,2804.136,3780
953,1912.876,2802.032,3770.44
954,1908.06,2799.944,3761.76
955,1902.936,2797.816,3752.12
956,1898.204,2795.392,3743.08
957,1893.5,2793.128,3733.72
958,1888.656,2791.328,3723.72
959,1884.288,2789.264,3716.36
960,1880.34,2787.272,3709.92
961,1876.812,2785.728,3704.64
962,1873.928,2784.888,3702.08
963,1871.24,2783.68,3700.16
964,1868.72,2782.472,3698.96
965,1866.368,2781.752,3698.48
966,1864.268,2781.072,3696.04
967,1862.812,2780.432,3693.72
968,1861.58,2779.776,3692.08
969,1859.62,2779.048,3690.56
970,1858.192,2778.952,3691.44
971,1857.184,2778.752,3691.84
972,1856.316,2777.944,3689.68
973,1855.476,2777.976,3689.96
974,1854.608,2777.656,3689.96
975,1853.74,2777.056,3689.88
976,1853.208,2777.36,3692
977,1852.704,2777.104,3691.88
978,1852.312,2776.632,3691.4
979,1852.2,2776.528,3692.92
980,1852.172,2776.824,3694.76
981,1852.256,2777.064,3697.28
982,1852.508,2777.176,3700.16
983,1852.984,2777.424,3702.36
984,1853.264,2777.48,3703.68
985,1853.656,2777.912,3705.84
986,1854.412,2778.976,3709.68
987,1855.336,2779.032,3711.8
988,1856.568,2779.128,3713.92
989,1857.856,2779.512,3717.16
990,1858.724,2779.912,3722.04
991,1860.18,2780.968,3723.68
992,1861.664,2782.088,3725.56
993,1862.728,2782.752,3730.36
994,1864.464,2783.472,3733.08
995,1866.172,2783.76,3737.16
996,1867.74,2783.944,3742.4
997,1869.532,2784.848,3746.28
998,1871.1,2785.52,3751.08
999,1872.948,2786.176,3755.44
1000,1875.328,2787.08,3758.52
1001,1873.144,2786.04,3755.36
1002,1875.132,2787.2,3758.6
1003,1877.036,2788.056,3761.6
1004,1878.296,2789.128,3763.88
1005,1880.228,2789.928,3767.32
1006,1882.888,2790.208,3771.72
1007,1884.932,2790.8,3775.68
1008,1886.808,2791.472,3780.16
1009,1888.768,2792.296,3785.88
1010,1890.448,2793.216,3787.16
1011,1892.352,2794.136,3789.88
1012,1894.452,2795.016,3796.36
1013,1896.496,2795.536,3799.88
1014,1898.708,2796.328,3803.92
1015,1901.06,2797.08,3810.36
1016,1903.132,2797.904,3812.84
1017,1905.344,2798.96,3811.6
1018,1907.416,2799.968,3813.24
1019,1909.012,2800.88,3813.8
