"","wavelength","beech_mean_reflectance"
"1063",1063,0.259863333333333
"1064",1064,0.260393333333333
"1065",1065,0.260816666666667
"1066",1066,0.26123
"1067",1067,0.2617
"1068",1068,0.262203333333333
"1069",1069,0.262666666666667
"1070",1070,0.263163333333333
"1071",1071,0.263636666666667
"1072",1072,0.264096666666667
"1073",1073,0.264516666666667
"1074",1074,0.264953333333333
"1075",1075,0.26525
"1076",1076,0.265546666666667
"1077",1077,0.265976666666667
"1078",1078,0.266483333333333
"1079",1079,0.267006666666667
"1080",1080,0.26744
"1081",1081,0.2678
"1082",1082,0.268173333333333
"1083",1083,0.268413333333333
"1084",1084,0.268816666666667
"1085",1085,0.269376666666667
"1086",1086,0.269776666666667
"1087",1087,0.27017
"1088",1088,0.270483333333333
"1089",1089,0.270736666666667
"1090",1090,0.271186666666667
"1091",1091,0.271673333333333
"1092",1092,0.272206666666667
"1093",1093,0.272606666666667
"1094",1094,0.27286
"1095",1095,0.273163333333333
"1096",1096,0.27333
"1097",1097,0.273663333333333
"1098",1098,0.274163333333333
"1099",1099,0.274536666666667
"1100",1100,0.274893333333333
"1101",1101,0.27532
"1102",1102,0.275623333333333
"1103",1103,0.27586
"1104",1104,0.276113333333333
"1105",1105,0.2764
"1106",1106,0.276903333333333
"1107",1107,0.277306666666667
"1108",1108,0.27775
"1109",1109,0.27822
"1110",1110,0.278553333333333
"1111",1111,0.278686666666667
"1112",1112,0.279
"1113",1113,0.279293333333333
"1114",1114,0.27967
"1115",1115,0.280176666666667
"1116",1116,0.280583333333333
"1117",1117,0.28099
"1118",1118,0.281346666666667
"1119",1119,0.28155
"1120",1120,0.28185
"1121",1121,0.28213
"1122",1122,0.28241
"1123",1123,0.28275
"1124",1124,0.282946666666667
"1125",1125,0.283256666666667
"1126",1126,0.283666666666667
"1127",1127,0.283993333333333
"1128",1128,0.284416666666667
"1129",1129,0.284656666666667
"1130",1130,0.28476
"1131",1131,0.284796666666667
"1132",1132,0.2849
"1133",1133,0.285006666666667
"1134",1134,0.28536
"1135",1135,0.285646666666667
"1136",1136,0.28587
"1137",1137,0.286196666666667
