"","wavelength","lime_mean_reflectance"
"936",936,0.087037
"937",937,0.08714
"938",938,0.087546
"939",939,0.088191
"940",940,0.088684
"941",941,0.089256
"942",942,0.089843
"943",943,0.090353
"944",944,0.090899
"945",945,0.091485
"946",946,0.092143
"947",947,0.092876
"948",948,0.09366
"949",949,0.094387
"950",950,0.095231
"951",951,0.096
"952",952,0.096585
"953",953,0.097328
"954",954,0.098195
"955",955,0.099021
"956",956,0.099863
"957",957,0.1008
"958",958,0.10157
"959",959,0.10223
"960",960,0.10301
"961",961,0.10369
"962",962,0.10455
"963",963,0.10572
"964",964,0.10664
"965",965,0.10745
"966",966,0.10836
"967",967,0.10927
"968",968,0.11008
"969",969,0.11093
"970",970,0.11182
"971",971,0.11272
"972",972,0.11348
"973",973,0.11446
"974",974,0.11581
"975",975,0.11686
"976",976,0.11777
"977",977,0.11877
"978",978,0.11968
"979",979,0.12051
"980",980,0.1215
"981",981,0.12262
"982",982,0.12376
"983",983,0.12502
"984",984,0.12612
"985",985,0.12728
"986",986,0.12835
"987",987,0.12924
"988",988,0.13017
"989",989,0.13115
"990",990,0.13203
"991",991,0.13301
"992",992,0.13395
"993",993,0.13506
"994",994,0.13643
"995",995,0.13755
"996",996,0.13869
"997",997,0.13972
"998",998,0.14054
"999",999,0.14143
"1000",1000,0.14229
"1001",1001,0.14316
"1002",1002,0.14414
"1003",1003,0.14514
"1004",1004,0.14621
"1005",1005,0.1475
"1006",1006,0.14854
"1007",1007,0.14951
"1008",1008,0.15041
"1009",1009,0.151
"1010",1010,0.15189
"1011",1011,0.15276
"1012",1012,0.15397
"1013",1013,0.15528
"1014",1014,0.15632
"1015",1015,0.15726
"1016",1016,0.15799
"1017",1017,0.15885
"1018",1018,0.15966
"1019",1019,0.16053
"1020",1020,0.16152
"1021",1021,0.16242
"1022",1022,0.16336
"1023",1023,0.16408
"1024",1024,0.1645
"1025",1025,0.16516
"1026",1026,0.16596
"1027",1027,0.16676
"1028",1028,0.1676
"1029",1029,0.16884
"1030",1030,0.16963
"1031",1031,0.17009
"1032",1032,0.17075
"1033",1033,0.17132
"1034",1034,0.17199
"1035",1035,0.17276
"1036",1036,0.17353
"1037",1037,0.17417
"1038",1038,0.17496
"1039",1039,0.17568
"1040",1040,0.17618
"1041",1041,0.17679
"1042",1042,0.17743
"1043",1043,0.178
"1044",1044,0.17848
"1045",1045,0.17908
"1046",1046,0.17978
"1047",1047,0.18037
"1048",1048,0.1809
"1049",1049,0.18154
"1050",1050,0.18216
"1051",1051,0.1828
"1052",1052,0.18367
"1053",1053,0.18436
"1054",1054,0.18494
"1055",1055,0.18529
"1056",1056,0.18578
"1057",1057,0.18618
"1058",1058,0.1867
"1059",1059,0.18734
"1060",1060,0.18794
"1061",1061,0.18853
"1062",1062,0.18916
"1063",1063,0.18978
"1064",1064,0.19037
"1065",1065,0.19106
"1066",1066,0.19172
"1067",1067,0.19234
"1068",1068,0.19299
"1069",1069,0.19362
"1070",1070,0.19421
"1071",1071,0.19478
"1072",1072,0.19535
"1073",1073,0.1959
"1074",1074,0.19643
"1075",1075,0.19691
"1076",1076,0.19738
"1077",1077,0.19801
"1078",1078,0.19861
"1079",1079,0.19929
"1080",1080,0.19991
"1081",1081,0.20032
"1082",1082,0.20085
"1083",1083,0.20137
"1084",1084,0.20185
"1085",1085,0.2023
"1086",1086,0.20293
"1087",1087,0.20366
"1088",1088,0.20424
"1089",1089,0.2051
"1090",1090,0.20562
"1091",1091,0.20593
"1092",1092,0.20637
"1093",1093,0.20687
"1094",1094,0.20764
"1095",1095,0.20821
"1096",1096,0.20892
"1097",1097,0.20935
"1098",1098,0.20935
"1099",1099,0.20965
"1100",1100,0.20999
"1101",1101,0.21035
"1102",1102,0.211
"1103",1103,0.21193
"1104",1104,0.21248
"1105",1105,0.21302
"1106",1106,0.21337
"1107",1107,0.21358
"1108",1108,0.2141
"1109",1109,0.21456
"1110",1110,0.21501
"1111",1111,0.21551
"1112",1112,0.21596
"1113",1113,0.21632
"1114",1114,0.21681
"1115",1115,0.2174
"1116",1116,0.21792
"1117",1117,0.21847
"1118",1118,0.21891
"1119",1119,0.21915
"1120",1120,0.21924
"1121",1121,0.21936
"1122",1122,0.21987
"1123",1123,0.22038
"1124",1124,0.22112
"1125",1125,0.2216
"1126",1126,0.2219
"1127",1127,0.22219
"1128",1128,0.2223
"1129",1129,0.22252
"1130",1130,0.22276
"1131",1131,0.2232
"1132",1132,0.2235
"1133",1133,0.22398
"1134",1134,0.22425
"1135",1135,0.22438
"1136",1136,0.22474
"1137",1137,0.22499
"1138",1138,0.22526
"1139",1139,0.22559
"1140",1140,0.22563
"1141",1141,0.22567
"1142",1142,0.2257
"1143",1143,0.22556
"1144",1144,0.22571
"1145",1145,0.22602
"1146",1146,0.22623
"1147",1147,0.22656
"1148",1148,0.22694
"1149",1149,0.22746
"1150",1150,0.22776
"1151",1151,0.2278
"1152",1152,0.22796
"1153",1153,0.22769
"1154",1154,0.22716
"1155",1155,0.22727
"1156",1156,0.22746
"1157",1157,0.22754
"1158",1158,0.22808
"1159",1159,0.22837
"1160",1160,0.22848
"1161",1161,0.22847
"1162",1162,0.2284
"1163",1163,0.22831
"1164",1164,0.22807
"1165",1165,0.22791
"1166",1166,0.22782
"1167",1167,0.22756
"1168",1168,0.22751
"1169",1169,0.22774
"1170",1170,0.22795
"1171",1171,0.22823
"1172",1172,0.22852
"1173",1173,0.22845
"1174",1174,0.22842
"1175",1175,0.22862
"1176",1176,0.22859
"1177",1177,0.22823
"1178",1178,0.22838
"1179",1179,0.22882
