"","wavelength","haz_mean_reflectance"
"1000",1000,0.14368
"1001",1001,0.144905
"1002",1002,0.145975
"1003",1003,0.14696
"1004",1004,0.148085
"1005",1005,0.149275
"1006",1006,0.15044
"1007",1007,0.15174
"1008",1008,0.152855
"1009",1009,0.153875
"1010",1010,0.15489
"1011",1011,0.155815
"1012",1012,0.15672
"1013",1013,0.15761
"1014",1014,0.158535
"1015",1015,0.159585
"1016",1016,0.16076
"1017",1017,0.1618
"1018",1018,0.16291
"1019",1019,0.16393
"1020",1020,0.16484
"1021",1021,0.165705
"1022",1022,0.16654
"1023",1023,0.167445
"1024",1024,0.16828
"1025",1025,0.16916
"1026",1026,0.170305
"1027",1027,0.17121
"1028",1028,0.172045
"1029",1029,0.172775
"1030",1030,0.173585
"1031",1031,0.17427
"1032",1032,0.175065
"1033",1033,0.17609
"1034",1034,0.176905
"1035",1035,0.177605
"1036",1036,0.178325
"1037",1037,0.17917
"1038",1038,0.17972
"1039",1039,0.180265
"1040",1040,0.180855
"1041",1041,0.181405
"1042",1042,0.18179
"1043",1043,0.18236
"1044",1044,0.183025
"1045",1045,0.1837
"1046",1046,0.18448
"1047",1047,0.18512
"1048",1048,0.18577
"1049",1049,0.1863
"1050",1050,0.18678
"1051",1051,0.187385
"1052",1052,0.18802
"1053",1053,0.18859
"1054",1054,0.189135
"1055",1055,0.189545
"1056",1056,0.190175
"1057",1057,0.190995
"1058",1058,0.191615
"1059",1059,0.192205
"1060",1060,0.19281
"1061",1061,0.193275
"1062",1062,0.19373
"1063",1063,0.194475
"1064",1064,0.195245
"1065",1065,0.195925
"1066",1066,0.196685
"1067",1067,0.19738
"1068",1068,0.19803
"1069",1069,0.19872
"1070",1070,0.199405
"1071",1071,0.20009
"1072",1072,0.200815
"1073",1073,0.20147
"1074",1074,0.20209
"1075",1075,0.20274
"1076",1076,0.2033
"1077",1077,0.20389
"1078",1078,0.20453
"1079",1079,0.20498
"1080",1080,0.20544
"1081",1081,0.20607
"1082",1082,0.206705
"1083",1083,0.207465
"1084",1084,0.20816
"1085",1085,0.20883
"1086",1086,0.209475
"1087",1087,0.210125
"1088",1088,0.210675
"1089",1089,0.211055
"1090",1090,0.2116
"1091",1091,0.212225
"1092",1092,0.212775
"1093",1093,0.21338
"1094",1094,0.213965
"1095",1095,0.21449
"1096",1096,0.214825
"1097",1097,0.215265
"1098",1098,0.215745
"1099",1099,0.21629
"1100",1100,0.21682
"1101",1101,0.21745
"1102",1102,0.21818
"1103",1103,0.21872
"1104",1104,0.219155
"1105",1105,0.21946
"1106",1106,0.21972
"1107",1107,0.220155
"1108",1108,0.220725
"1109",1109,0.22148
"1110",1110,0.222035
"1111",1111,0.22252
"1112",1112,0.222975
"1113",1113,0.223225
"1114",1114,0.223665
"1115",1115,0.22413
"1116",1116,0.224945
"1117",1117,0.22554
"1118",1118,0.226015
"1119",1119,0.226505
"1120",1120,0.226835
"1121",1121,0.22726
"1122",1122,0.22781
"1123",1123,0.22827
"1124",1124,0.22869
"1125",1125,0.229165
"1126",1126,0.229705
"1127",1127,0.23006
"1128",1128,0.23038
"1129",1129,0.23065
"1130",1130,0.230715
"1131",1131,0.23091
"1132",1132,0.23118
"1133",1133,0.231445
"1134",1134,0.23182
"1135",1135,0.232205
"1136",1136,0.23265
"1137",1137,0.232925
"1138",1138,0.233165
"1139",1139,0.23351
"1140",1140,0.23372
