"","wavelength","rowan_mean_reflectance"
"899",899,0.35251
"900",900,0.34579
"901",901,0.33934
"902",902,0.33307
"903",903,0.32699
"904",904,0.32103
"905",905,0.31555
"906",906,0.31033
"907",907,0.30551
"908",908,0.30122
"909",909,0.29707
"910",910,0.29309
"911",911,0.28954
"912",912,0.28644
"913",913,0.2834
"914",914,0.28062
"915",915,0.27827
"916",916,0.27594
"917",917,0.27355
"918",918,0.27165
"919",919,0.27017
"920",920,0.26872
"921",921,0.26747
"922",922,0.26645
"923",923,0.26565
"924",924,0.26482
"925",925,0.26438
"926",926,0.2644
"927",927,0.26418
"928",928,0.26403
"929",929,0.264
"930",930,0.26389
"931",931,0.26407
"932",932,0.26454
"933",933,0.26505
"934",934,0.26566
"935",935,0.26645
"936",936,0.26717
"937",937,0.26787
"938",938,0.26878
"939",939,0.26973
"940",940,0.27081
"941",941,0.2723
"942",942,0.27343
"943",943,0.27429
"944",944,0.27538
"945",945,0.27651
"946",946,0.27744
"947",947,0.27875
"948",948,0.2805
"949",949,0.28188
"950",950,0.28318
"951",951,0.28457
"952",952,0.28586
"953",953,0.2872
"954",954,0.28865
"955",955,0.29008
"956",956,0.2915
"957",957,0.29281
"958",958,0.29431
"959",959,0.29591
"960",960,0.29749
"961",961,0.29916
"962",962,0.30076
"963",963,0.30235
"964",964,0.30391
"965",965,0.30554
"966",966,0.30701
"967",967,0.30839
"968",968,0.30961
"969",969,0.3111
"970",970,0.31254
"971",971,0.31413
"972",972,0.31609
"973",973,0.31771
"974",974,0.31916
"975",975,0.32072
"976",976,0.32208
"977",977,0.32363
"978",978,0.32543
"979",979,0.32714
"980",980,0.32872
"981",981,0.33034
"982",982,0.33185
"983",983,0.333
"984",984,0.33448
"985",985,0.33609
"986",986,0.33767
"987",987,0.33949
"988",988,0.34109
"989",989,0.34265
"990",990,0.34396
"991",991,0.34542
"992",992,0.34678
"993",993,0.34829
"994",994,0.34994
"995",995,0.35149
"996",996,0.35314
"997",997,0.3546
"998",998,0.35587
"999",999,0.35722
"1000",1000,0.35869
"1001",1001,0.35974
"1002",1002,0.36078
"1003",1003,0.36217
"1004",1004,0.36336
"1005",1005,0.36444
"1006",1006,0.36555
"1007",1007,0.36681
"1008",1008,0.36774
