"","wavelength","syc_mean_reflectance"
"916",916,0.094261
"917",917,0.0940025
"918",918,0.09356
"919",919,0.093228
"920",920,0.092904
"921",921,0.092485
"922",922,0.0921745
"923",923,0.091932
"924",924,0.091802
"925",925,0.0917735
"926",926,0.091836
"927",927,0.0918775
"928",928,0.0920415
"929",929,0.092189
"930",930,0.0922505
"931",931,0.092445
"932",932,0.0927835
"933",933,0.0930995
"934",934,0.09344
"935",935,0.0938195
"936",936,0.094195
"937",937,0.094568
"938",938,0.094999
"939",939,0.0954395
"940",940,0.0959395
"941",941,0.0964415
"942",942,0.09707
"943",943,0.0979305
"944",944,0.098604
"945",945,0.0992475
"946",946,0.099918
"947",947,0.1005605
"948",948,0.101035
"949",949,0.101645
"950",950,0.10231
"951",951,0.10304
"952",952,0.103765
"953",953,0.104585
"954",954,0.10565
"955",955,0.106545
"956",956,0.107395
"957",957,0.10822
"958",958,0.10909
"959",959,0.109875
"960",960,0.110765
"961",961,0.11175
"962",962,0.112705
"963",963,0.11371
"964",964,0.11465
"965",965,0.115425
"966",966,0.11642
"967",967,0.11748
"968",968,0.118585
"969",969,0.11965
"970",970,0.120955
"971",971,0.12196
"972",972,0.12265
"973",973,0.123595
"974",974,0.124485
"975",975,0.12552
"976",976,0.12681
"977",977,0.12796
"978",978,0.129105
"979",979,0.130265
"980",980,0.13136
"981",981,0.132335
"982",982,0.133405
"983",983,0.134475
"984",984,0.135605
"985",985,0.136815
"986",986,0.13797
"987",987,0.139105
"988",988,0.14028
"989",989,0.141455
"990",990,0.14264
"991",991,0.143835
"992",992,0.14514
"993",993,0.146285
"994",994,0.147375
"995",995,0.14842
"996",996,0.14928
"997",997,0.150355
"998",998,0.15144
"999",999,0.152615
"1000",1000,0.154025
"1001",1001,0.155315
"1002",1002,0.156535
"1003",1003,0.15773
"1004",1004,0.158795
"1005",1005,0.15963
"1006",1006,0.16071
"1007",1007,0.161845
"1008",1008,0.162935
"1009",1009,0.16417
"1010",1010,0.165265
"1011",1011,0.16619
"1012",1012,0.167175
"1013",1013,0.168265
"1014",1014,0.16937
"1015",1015,0.17037
"1016",1016,0.171375
"1017",1017,0.17236
"1018",1018,0.17318
"1019",1019,0.174175
"1020",1020,0.175355
"1021",1021,0.176355
"1022",1022,0.17729
"1023",1023,0.17827
"1024",1024,0.17917
"1025",1025,0.180105
"1026",1026,0.181155
"1027",1027,0.182045
"1028",1028,0.182975
"1029",1029,0.183915
"1030",1030,0.184775
"1031",1031,0.185585
"1032",1032,0.186425
"1033",1033,0.1872
"1034",1034,0.188005
"1035",1035,0.188825
"1036",1036,0.18973
"1037",1037,0.19057
"1038",1038,0.191285
"1039",1039,0.191945
"1040",1040,0.192555
"1041",1041,0.19332
"1042",1042,0.194225
"1043",1043,0.19498
"1044",1044,0.195795
"1045",1045,0.196505
"1046",1046,0.19698
"1047",1047,0.19756
"1048",1048,0.198125
"1049",1049,0.19889
"1050",1050,0.19961
"1051",1051,0.20032
"1052",1052,0.20113
"1053",1053,0.201805
"1054",1054,0.20249
"1055",1055,0.20317
"1056",1056,0.203805
"1057",1057,0.204315
"1058",1058,0.20502
"1059",1059,0.205825
"1060",1060,0.206615
"1061",1061,0.207555
"1062",1062,0.20842
"1063",1063,0.209045
"1064",1064,0.209555
"1065",1065,0.21022
"1066",1066,0.21091
"1067",1067,0.21161
"1068",1068,0.21246
"1069",1069,0.213235
"1070",1070,0.21394
"1071",1071,0.21468
"1072",1072,0.215545
"1073",1073,0.216275
"1074",1074,0.216965
"1075",1075,0.21746
"1076",1076,0.217965
"1077",1077,0.218665
"1078",1078,0.21943
"1079",1079,0.220335
"1080",1080,0.22145
"1081",1081,0.222285
"1082",1082,0.222945
"1083",1083,0.223405
"1084",1084,0.22397
"1085",1085,0.22427
"1086",1086,0.224805
"1087",1087,0.225545
"1088",1088,0.2262
"1089",1089,0.22679
"1090",1090,0.227395
"1091",1091,0.22797
"1092",1092,0.228615
"1093",1093,0.229275
"1094",1094,0.229935
"1095",1095,0.230555
"1096",1096,0.23107
"1097",1097,0.23168
"1098",1098,0.23238
"1099",1099,0.23302
"1100",1100,0.23365
"1101",1101,0.2343
"1102",1102,0.23489
"1103",1103,0.23528
"1104",1104,0.23569
"1105",1105,0.236275
"1106",1106,0.236885
"1107",1107,0.237505
"1108",1108,0.23811
"1109",1109,0.23861
"1110",1110,0.239145
"1111",1111,0.239595
"1112",1112,0.240115
"1113",1113,0.240685
"1114",1114,0.24128
"1115",1115,0.241855
"1116",1116,0.24254
"1117",1117,0.243325
"1118",1118,0.243905
"1119",1119,0.24433
"1120",1120,0.24472
"1121",1121,0.24505
"1122",1122,0.24543
"1123",1123,0.24589
"1124",1124,0.246295
"1125",1125,0.24676
"1126",1126,0.247235
"1127",1127,0.247725
"1128",1128,0.248385
"1129",1129,0.24883
"1130",1130,0.24919
"1131",1131,0.249375
"1132",1132,0.249575
"1133",1133,0.24976
"1134",1134,0.250145
"1135",1135,0.250655
"1136",1136,0.251005
"1137",1137,0.251475
"1138",1138,0.251765
"1139",1139,0.251805
"1140",1140,0.25229
"1141",1141,0.252705
"1142",1142,0.252915
"1143",1143,0.253155
"1144",1144,0.253325
"1145",1145,0.253225
"1146",1146,0.25316
"1147",1147,0.253465
"1148",1148,0.253725
"1149",1149,0.25398
"1150",1150,0.25421
"1151",1151,0.25443
"1152",1152,0.2547
"1153",1153,0.254965
"1154",1154,0.255105
"1155",1155,0.25507
"1156",1156,0.2549
"1157",1157,0.25475
"1158",1158,0.254825
"1159",1159,0.254895
"1160",1160,0.255085
"1161",1161,0.25517
"1162",1162,0.25522
"1163",1163,0.255285
"1164",1164,0.255425
"1165",1165,0.25552
"1166",1166,0.255715
"1167",1167,0.255615
"1168",1168,0.2554
"1169",1169,0.255445
"1170",1170,0.255425
"1171",1171,0.255655
"1172",1172,0.25585
"1173",1173,0.25574
"1174",1174,0.25601
"1175",1175,0.2561
"1176",1176,0.256125
"1177",1177,0.256265
"1178",1178,0.25638
"1179",1179,0.256325
"1180",1180,0.25632
"1181",1181,0.256345
"1182",1182,0.256125
"1183",1183,0.25596
"1184",1184,0.25602
"1185",1185,0.256455
"1186",1186,0.257015
"1187",1187,0.25747
"1188",1188,0.25754
"1189",1189,0.257245
"1190",1190,0.25705
"1191",1191,0.25682
"1192",1192,0.25694
"1193",1193,0.25733
"1194",1194,0.257385
"1195",1195,0.25742
"1196",1196,0.257275
"1197",1197,0.25725
"1198",1198,0.2571
"1199",1199,0.25733
"1200",1200,0.25765
"1201",1201,0.25794
"1202",1202,0.25791
"1203",1203,0.257835
"1204",1204,0.257825
"1205",1205,0.258005
"1206",1206,0.25835
"1207",1207,0.25845
"1208",1208,0.25847
"1209",1209,0.25831
"1210",1210,0.25794
"1211",1211,0.2579
"1212",1212,0.25789
"1213",1213,0.25773
"1214",1214,0.25772
"1215",1215,0.25788
"1216",1216,0.257865
"1217",1217,0.257785
"1218",1218,0.25786
"1219",1219,0.257865
"1220",1220,0.2581
"1221",1221,0.25817
"1222",1222,0.258025
"1223",1223,0.25771
"1224",1224,0.257315
"1225",1225,0.25715
"1226",1226,0.257045
"1227",1227,0.256985
"1228",1228,0.256945
"1229",1229,0.256805
"1230",1230,0.25669
"1231",1231,0.256505
"1232",1232,0.25602
"1233",1233,0.25561
"1234",1234,0.2553
"1235",1235,0.25498
"1236",1236,0.25489
"1237",1237,0.254635
"1238",1238,0.25439
"1239",1239,0.253695
"1240",1240,0.25312
"1241",1241,0.25241
"1242",1242,0.251765
"1243",1243,0.251625
"1244",1244,0.251245
"1245",1245,0.25075
"1246",1246,0.250435
"1247",1247,0.24964
"1248",1248,0.248955
"1249",1249,0.248865
"1250",1250,0.24828
"1251",1251,0.247525
"1252",1252,0.24692
"1253",1253,0.245725
"1254",1254,0.244655
"1255",1255,0.24397
"1256",1256,0.243245
"1257",1257,0.24275
"1258",1258,0.24206
"1259",1259,0.241225
"1260",1260,0.240475
"1261",1261,0.239575
"1262",1262,0.23883
"1263",1263,0.23818
"1264",1264,0.237855
"1265",1265,0.237095
"1266",1266,0.23658
"1267",1267,0.236615
"1268",1268,0.236235
"1269",1269,0.236045
"1270",1270,0.235645
"1271",1271,0.23443
"1272",1272,0.233335
"1273",1273,0.232345
"1274",1274,0.23206
"1275",1275,0.23225
"1276",1276,0.23206
"1277",1277,0.232005
"1278",1278,0.231415
"1279",1279,0.230445
"1280",1280,0.22977
"1281",1281,0.22909
"1282",1282,0.228325
"1283",1283,0.227885
"1284",1284,0.22776
"1285",1285,0.227385
"1286",1286,0.227145
"1287",1287,0.226615
"1288",1288,0.225625
"1289",1289,0.225015
"1290",1290,0.224475
"1291",1291,0.224045
"1292",1292,0.223605
"1293",1293,0.223045
"1294",1294,0.222555
"1295",1295,0.22222
"1296",1296,0.22212
"1297",1297,0.22221
"1298",1298,0.22163
"1299",1299,0.22031
"1300",1300,0.219145
"1301",1301,0.218035
"1302",1302,0.21713
"1303",1303,0.216715
"1304",1304,0.216205
"1305",1305,0.21561
"1306",1306,0.214875
"1307",1307,0.214095
"1308",1308,0.21394
"1309",1309,0.2136
"1310",1310,0.21314
"1311",1311,0.213025
"1312",1312,0.212765
"1313",1313,0.21187
"1314",1314,0.21151
"1315",1315,0.21175
"1316",1316,0.21142
"1317",1317,0.21078
"1318",1318,0.21058
"1319",1319,0.210495
"1320",1320,0.210255
"1321",1321,0.21018
"1322",1322,0.210025
"1323",1323,0.20979
"1324",1324,0.209195
"1325",1325,0.20905
