"","wavelength","ash_mean_reflectance"
"890",890,0.40088
"891",891,0.3925
"892",892,0.38409
"893",893,0.37578
"894",894,0.36771
"895",895,0.35987
"896",896,0.35199
"897",897,0.34412
"898",898,0.3365
"899",899,0.32891
"900",900,0.32165
"901",901,0.31459
"902",902,0.30796
"903",903,0.3017
"904",904,0.29557
"905",905,0.28992
"906",906,0.28468
"907",907,0.27981
"908",908,0.27545
"909",909,0.27117
"910",910,0.26713
"911",911,0.26347
"912",912,0.26013
"913",913,0.25682
"914",914,0.25402
"915",915,0.25184
"916",916,0.24944
"917",917,0.24704
"918",918,0.24508
"919",919,0.24332
"920",920,0.24174
"921",921,0.24066
"922",922,0.2395
"923",923,0.23841
"924",924,0.23733
"925",925,0.23654
"926",926,0.2359
"927",927,0.23547
"928",928,0.23539
"929",929,0.23517
"930",930,0.23484
"931",931,0.2349
"932",932,0.23517
"933",933,0.23545
"934",934,0.23587
"935",935,0.23667
"936",936,0.23721
"937",937,0.23756
"938",938,0.2382
"939",939,0.23895
"940",940,0.23976
"941",941,0.24072
"942",942,0.24169
"943",943,0.24271
"944",944,0.24379
"945",945,0.24492
"946",946,0.24607
"947",947,0.24736
"948",948,0.24879
"949",949,0.25014
"950",950,0.25161
"951",951,0.25296
"952",952,0.2541
"953",953,0.25548
"954",954,0.25701
"955",955,0.25845
"956",956,0.25989
"957",957,0.26142
"958",958,0.26292
"959",959,0.2643
"960",960,0.26581
"961",961,0.26749
"962",962,0.26908
"963",963,0.27065
"964",964,0.27223
"965",965,0.27371
"966",966,0.27533
"967",967,0.27701
"968",968,0.27877
"969",969,0.28046
"970",970,0.28227
"971",971,0.2839
"972",972,0.28536
"973",973,0.28696
"974",974,0.28856
"975",975,0.29021
"976",976,0.29194
"977",977,0.29364
"978",978,0.29527
"979",979,0.29704
"980",980,0.29882
"981",981,0.30064
"982",982,0.30242
"983",983,0.30427
"984",984,0.30602
"985",985,0.3077
"986",986,0.30941
"987",987,0.31101
"988",988,0.31274
"989",989,0.3146
"990",990,0.3165
"991",991,0.31819
"992",992,0.31993
"993",993,0.32153
"994",994,0.3229
"995",995,0.32435
"996",996,0.32585
"997",997,0.32729
"998",998,0.32851
"999",999,0.32995
"1000",1000,0.33157
"1001",1001,0.33313
"1002",1002,0.3345
"1003",1003,0.33603
"1004",1004,0.33737
"1005",1005,0.33841
"1006",1006,0.33966
