"","wavelength","pasture_mean_reflectance"
"553",553,0.337293
"554",554,0.338844
"555",555,0.340371
"556",556,0.341893
"557",557,0.34339
"558",558,0.344891
"559",559,0.346381
"560",560,0.347841
"561",561,0.349289
"562",562,0.35072
"563",563,0.352133
"564",564,0.353544
"565",565,0.354944
"566",566,0.356337
"567",567,0.357713
"568",568,0.359073
"569",569,0.360433
"570",570,0.361791
"571",571,0.363119
"572",572,0.364443
"573",573,0.365743
"574",574,0.367003
"575",575,0.368275
"576",576,0.369542
"577",577,0.370794
"578",578,0.372036
"579",579,0.373266
"580",580,0.374471
"581",581,0.375682
"582",582,0.376886
"583",583,0.378082
"584",584,0.379283
"585",585,0.380455
"586",586,0.38161
"587",587,0.382771
"588",588,0.383924
"589",589,0.38507
"590",590,0.386224
"591",591,0.387354
"592",592,0.38846
"593",593,0.389569
"594",594,0.390667
"595",595,0.391756
"596",596,0.392838
"597",597,0.393907
"598",598,0.394967
"599",599,0.396015
"600",600,0.397054
"601",601,0.398089
"602",602,0.399121
"603",603,0.400133
"604",604,0.40114
"605",605,0.402135
"606",606,0.403108
"607",607,0.404079
"608",608,0.405056
"609",609,0.406005
"610",610,0.406932
"611",611,0.407857
"612",612,0.408764
"613",613,0.409659
"614",614,0.410548
"615",615,0.411423
"616",616,0.412289
"617",617,0.41313
"618",618,0.413953
"619",619,0.414769
"620",620,0.415568
"621",621,0.416364
"622",622,0.41716
"623",623,0.417947
"624",624,0.418725
"625",625,0.419484
"626",626,0.420226
"627",627,0.42096
"628",628,0.421666
"629",629,0.422378
"630",630,0.423095
"631",631,0.423797
"632",632,0.424488
"633",633,0.425168
"634",634,0.425838
"635",635,0.42649
"636",636,0.427119
"637",637,0.427753
"638",638,0.428378
"639",639,0.428987
"640",640,0.429598
"641",641,0.430176
"642",642,0.430722
"643",643,0.431267
"644",644,0.431806
"645",645,0.432322
"646",646,0.432824
"647",647,0.433304
"648",648,0.433753
"649",649,0.434193
"650",650,0.434628
"651",651,0.43503
"652",652,0.435416
"653",653,0.435775
"654",654,0.436106
"655",655,0.436418
"656",656,0.436704
"657",657,0.43697
"658",658,0.437207
"659",659,0.437435
"660",660,0.437647
"661",661,0.437842
"662",662,0.438021
"663",663,0.438191
"664",664,0.438353
"665",665,0.438493
"666",666,0.438627
"667",667,0.438723
"668",668,0.438769
"669",669,0.438827
"670",670,0.438875
"671",671,0.438894
"672",672,0.438912
"673",673,0.438884
"674",674,0.438806
"675",675,0.43871
"676",676,0.438589
"677",677,0.43844
"678",678,0.438267
"679",679,0.438067
"680",680,0.43784
"681",681,0.437586
"682",682,0.437308
"683",683,0.437001
"684",684,0.436648
"685",685,0.436294
"686",686,0.43592
"687",687,0.435537
"688",688,0.435135
"689",689,0.434735
"690",690,0.434316
"691",691,0.433892
"692",692,0.43346
"693",693,0.433028
"694",694,0.432581
"695",695,0.432142
"696",696,0.431711
"697",697,0.431264
"698",698,0.43082
"699",699,0.430339
"700",700,0.429837
"701",701,0.429333
"702",702,0.428804
"703",703,0.428286
"704",704,0.427781
"705",705,0.427251
"706",706,0.426715
"707",707,0.426171
"708",708,0.425614
"709",709,0.425054
"710",710,0.424501
"711",711,0.423921
