"","wavelength","mean_deciduous_reflectance","sitka_mean_reflectance","pasture_mean_reflectance","moss_mean_reflectance","rho_mean_reflectance","grass_mean_reflectance","br_mean_reflectance","ash_mean_reflectance","alder_mean_reflectance","birch_mean_reflectance","beech_mean_reflectance","haz_mean_reflectance","hc_mean_reflectance","lime_mean_reflectance","rowan_mean_reflectance","syc_mean_reflectance"
"83",83000,499.798611111111,637.901428571428,847.249,598.659230769231,546.379444444444,679.478888888889,717.831111111111,735.65,459.878333333333,513.595833333333,390.263333333333,452.37,439.62,388.1,676.42,442.29
"84",84000,499.876388888889,637.777142857143,846.934,598.696153846154,546.328888888889,679.599722222222,717.766111111111,735.79,459.856666666667,513.619166666667,390.366666666667,452.36,439.72,388.18,676.71,442.285
"85",85000,499.896388888889,637.668571428571,846.632,598.735384615385,546.278888888889,679.728888888889,717.682222222222,736.02,459.791666666667,513.549166666667,390.376666666667,452.305,439.69,388.1,677.03,442.205
"86",86000,499.861018518519,637.527142857143,846.349,598.758461538462,546.159444444444,679.857222222222,717.598333333333,735.93,459.696666666667,513.504166666667,390.393333333333,452.16,439.63,388.03,677.28,442.125
"87",87000,499.883703703704,637.352857142857,846.033,598.711538461538,546.021666666667,679.944166666667,717.575555555556,735.98,459.665,513.49,390.403333333333,452.17,439.49,388.03,677.67,442.055
"88",88000,499.89287037037,637.11,845.702,598.673076923077,545.906666666667,680.016111111111,717.494444444444,736.11,459.636666666667,513.444166666667,390.36,452.22,439.21,387.96,678.05,442.045
"89",89000,499.904259259259,636.85,845.318,598.640769230769,545.789444444444,680.061944444444,717.368333333333,736.19,459.586666666667,513.405,390.306666666667,452.2,439.09,387.87,678.42,442.07
"90",90000,499.95,636.547142857143,844.918,598.662307692308,545.652222222222,680.035277777778,717.236666666667,736.31,459.506666666667,513.386666666667,390.226666666667,452.23,439.04,387.78,678.88,442.19
"91",91000,499.961666666667,636.262857142857,844.528,598.592307692308,545.512222222222,680.041944444444,717.065555555556,736.45,459.47,513.336666666667,390.133333333333,452.19,439.01,387.7,679.2,442.165
"92",92000,499.945925925926,635.951428571429,844.076,598.444615384615,545.383888888889,680.064166666667,716.777777777778,736.6,459.461666666667,513.253333333333,390.003333333333,452.03,439.12,387.55,679.39,442.105
"93",93000,499.93212962963,635.624285714286,843.612,598.359230769231,545.254444444445,680.061388888889,716.583888888889,736.63,459.423333333333,513.195833333333,389.92,451.945,439.11,387.47,679.64,442.055
"94",94000,499.8925,635.295714285714,843.165,598.255384615385,545.11,680.055277777778,716.426111111111,736.6,459.4,513.144166666667,389.823333333333,451.88,439.04,387.43,679.78,441.935
"95",95000,499.885092592593,634.972857142857,842.751,598.178461538462,544.962777777778,680.038888888889,716.247222222222,736.65,459.368333333333,513.074166666667,389.783333333333,451.76,438.96,387.45,680.12,441.8
