"","wavelength","hc_mean_reflectance"
"704",704,0.35883
"705",705,0.3586
"706",706,0.35838
"707",707,0.35816
"708",708,0.35796
"709",709,0.35774
"710",710,0.3575
"711",711,0.35729
"712",712,0.35708
"713",713,0.35685
"714",714,0.35663
"715",715,0.35638
"716",716,0.35609
"717",717,0.35585
"718",718,0.35563
"719",719,0.35538
"720",720,0.35515
"721",721,0.35489
"722",722,0.35461
"723",723,0.35433
"724",724,0.35409
"725",725,0.35384
"726",726,0.35357
"727",727,0.35328
"728",728,0.35301
"729",729,0.35276
"730",730,0.3525
"731",731,0.35222
"732",732,0.35195
"733",733,0.35161
"734",734,0.35127
"735",735,0.35103
"736",736,0.35074
"737",737,0.35047
"738",738,0.35015
"739",739,0.34979
"740",740,0.34943
"741",741,0.34906
"742",742,0.3487
"743",743,0.34833
"744",744,0.34798
"745",745,0.34766
"746",746,0.3473
"747",747,0.34696
"748",748,0.34659
"749",749,0.34616
"750",750,0.34577
"751",751,0.34537
"752",752,0.34497
"753",753,0.34458
"754",754,0.34419
"755",755,0.3438
"756",756,0.34339
"757",757,0.34297
"758",758,0.34257
"759",759,0.34217
"760",760,0.34176
"761",761,0.34136
"762",762,0.34098
"763",763,0.34059
"764",764,0.34024
"765",765,0.33994
"766",766,0.33962
"767",767,0.33931
"768",768,0.33897
"769",769,0.33862
"770",770,0.3383
"771",771,0.33795
"772",772,0.33763
"773",773,0.33738
"774",774,0.33715
"775",775,0.33691
"776",776,0.33663
"777",777,0.33637
"778",778,0.33612
"779",779,0.33587
"780",780,0.33569
"781",781,0.33554
"782",782,0.33534
"783",783,0.33515
"784",784,0.33496
"785",785,0.33476
"786",786,0.33464
"787",787,0.33451
"788",788,0.33441
"789",789,0.33431
"790",790,0.33421
"791",791,0.33411
"792",792,0.33403
"793",793,0.33395
"794",794,0.33385
"795",795,0.3338
"796",796,0.3338
"797",797,0.33377
"798",798,0.33374
"799",799,0.33372
"800",800,0.33368
"801",801,0.33367
"802",802,0.33368
"803",803,0.33369
"804",804,0.3337
"805",805,0.33371
"806",806,0.33374
"807",807,0.33379
"808",808,0.33378
"809",809,0.33375
"810",810,0.33375
"811",811,0.33368
"812",812,0.33365
"813",813,0.33366
"814",814,0.33364
"815",815,0.33364
"816",816,0.33364
"817",817,0.33364
"818",818,0.33365
"819",819,0.33362
"820",820,0.33357
"821",821,0.33346
"822",822,0.33337
"823",823,0.33328
"824",824,0.33321
"825",825,0.33316
"826",826,0.33308
"827",827,0.33301
"828",828,0.33288
"829",829,0.33272
"830",830,0.33256
"831",831,0.33237
"832",832,0.33258
"833",833,0.33235
"834",834,0.33212
"835",835,0.33183
"836",836,0.33124
"837",837,0.33089
"838",838,0.33058
"839",839,0.33039
"840",840,0.32997
"841",841,0.32959
"842",842,0.32913
"843",843,0.3283
"844",844,0.32752
"845",845,0.32707
"846",846,0.32639
"847",847,0.32559
"848",848,0.32489
"849",849,0.32399
"850",850,0.32277
"851",851,0.32165
"852",852,0.32062
"853",853,0.31931
"854",854,0.31795
"855",855,0.31658
"856",856,0.315
"857",857,0.31344
"858",858,0.31171
"859",859,0.30992
"860",860,0.30785
"861",861,0.3055
"862",862,0.30317
"863",863,0.30071
"864",864,0.29831
"865",865,0.29584
"866",866,0.29284
"867",867,0.28963
"868",868,0.28589
"869",869,0.28228
"870",870,0.27862
"871",871,0.27469
"872",872,0.27071
"873",873,0.26643
"874",874,0.26183
"875",875,0.25705
"876",876,0.25211
"877",877,0.24692
"878",878,0.24176
"879",879,0.23652
"880",880,0.23107
"881",881,0.22553
"882",882,0.21977
"883",883,0.21387
"884",884,0.20792
"885",885,0.2021
"886",886,0.19638
"887",887,0.19057
"888",888,0.18449
"889",889,0.17883
"890",890,0.17325
"891",891,0.16777
"892",892,0.16245
"893",893,0.1574
"894",894,0.15252
"895",895,0.14769
"896",896,0.14322
"897",897,0.1391
"898",898,0.1351
"899",899,0.13116
"900",900,0.12766
"901",901,0.12469
"902",902,0.12167
"903",903,0.11869
"904",904,0.11623
"905",905,0.11394
"906",906,0.11164
"907",907,0.10987
"908",908,0.1089
"909",909,0.10746
"910",910,0.10601
"911",911,0.10475
"912",912,0.10336
"913",913,0.10221
"914",914,0.10138
"915",915,0.10096
"916",916,0.10032
"917",917,0.099842
"918",918,0.099294
"919",919,0.09852
"920",920,0.098107
"921",921,0.097956
"922",922,0.097725
"923",923,0.097508
"924",924,0.097577
"925",925,0.097548
"926",926,0.097421
"927",927,0.097521
"928",928,0.097859
"929",929,0.098036
"930",930,0.0982
"931",931,0.098432
"932",932,0.098612
"933",933,0.09888
"934",934,0.099212
"935",935,0.099646
"936",936,0.10009
"937",937,0.10059
"938",938,0.10107
"939",939,0.10157
"940",940,0.10216
"941",941,0.10276
"942",942,0.1034
"943",943,0.10421
"944",944,0.10493
"945",945,0.10563
"946",946,0.10635
"947",947,0.10695
"948",948,0.10735
"949",949,0.10803
"950",950,0.10871
"951",951,0.1095
"952",952,0.11057
"953",953,0.11152
"954",954,0.1124
"955",955,0.11334
"956",956,0.1143
"957",957,0.11527
"958",958,0.11626
"959",959,0.11738
"960",960,0.11829
"961",961,0.11905
"962",962,0.11995
"963",963,0.12074
"964",964,0.12163
"965",965,0.1227
"966",966,0.12369
"967",967,0.12466
"968",968,0.12553
"969",969,0.12655
"970",970,0.12762
"971",971,0.12871
"972",972,0.12995
"973",973,0.13108
"974",974,0.13206
"975",975,0.1332
"976",976,0.13445
"977",977,0.13556
"978",978,0.13657
"979",979,0.13782
"980",980,0.13891
"981",981,0.13977
"982",982,0.14091
"983",983,0.14226
"984",984,0.1434
"985",985,0.14454
"986",986,0.14572
"987",987,0.14676
"988",988,0.1479
"989",989,0.14925
"990",990,0.15054
"991",991,0.15159
"992",992,0.15243
"993",993,0.1535
"994",994,0.15441
"995",995,0.15556
"996",996,0.15708
"997",997,0.15837
"998",998,0.15971
"999",999,0.16085
"1000",1000,0.1618
"1001",1001,0.16273
"1002",1002,0.16372
"1003",1003,0.16479
"1004",1004,0.16587
