wavelength,mean_deciduous_reflectance,sitka_mean_reflectance,pasture_mean_reflectance,moss_mean_reflectance,rho_mean_reflectance,grass_mean_reflectance,br_mean_reflectance,ash_mean_reflectance,alder_mean_reflectance,birch_mean_reflectance,beech_mean_reflectance,haz_mean_reflectance,hc_mean_reflectance,lime_mean_reflectance,rowan_mean_reflectance,syc_mean_reflectance
430,0.499798704,0.637988571,0.847413,0.598446154,0.546455556,0.679173889,0.717925556,0.73517,0.459913333,0.513576667,0.390423333,0.452515,0.43983,0.38844,0.67579,0.44253
431,0.499807037,0.63799,0.847335,0.598510769,0.546438889,0.679343611,0.717893333,0.73555,0.459901667,0.513568333,0.390313333,0.45244,0.43974,0.38821,0.67616,0.44238
432,0.499798611,0.637901429,0.847249,0.598659231,0.546379444,0.679478889,0.717831111,0.73565,0.459878333,0.513595833,0.390263333,0.45237,0.43962,0.3881,0.67642,0.44229
433,0.499876389,0.637777143,0.846934,0.598696154,0.546328889,0.679599722,0.717766111,0.73579,0.459856667,0.513619167,0.390366667,0.45236,0.43972,0.38818,0.67671,0.442285
434,0.499896389,0.637668571,0.846632,0.598735385,0.546278889,0.679728889,0.717682222,0.73602,0.459791667,0.513549167,0.390376667,0.452305,0.43969,0.3881,0.67703,0.442205
435,0.499861019,0.637527143,0.846349,0.598758462,0.546159444,0.679857222,0.717598333,0.73593,0.459696667,0.513504167,0.390393333,0.45216,0.43963,0.38803,0.67728,0.442125
436,0.499883704,0.637352857,0.846033,0.598711538,0.546021667,0.679944167,0.717575556,0.73598,0.459665,0.51349,0.390403333,0.45217,0.43949,0.38803,0.67767,0.442055
437,0.49989287,0.63711,0.845702,0.598673077,0.545906667,0.680016111,0.717494444,0.73611,0.459636667,0.513444167,0.39036,0.45222,0.43921,0.38796,0.67805,0.442045
438,0.499904259,0.63685,0.845318,0.598640769,0.545789444,0.680061944,0.717368333,0.73619,0.459586667,0.513405,0.390306667,0.4522,0.43909,0.38787,0.67842,0.44207
439,0.49995,0.636547143,0.844918,0.598662308,0.545652222,0.680035278,0.717236667,0.73631,0.459506667,0.513386667,0.390226667,0.45223,0.43904,0.38778,0.67888,0.44219
440,0.499961667,0.636262857,0.844528,0.598592308,0.545512222,0.680041944,0.717065556,0.73645,0.45947,0.513336667,0.390133333,0.45219,0.43901,0.3877,0.6792,0.442165
441,0.499945926,0.635951429,0.844076,0.598444615,0.545383889,0.680064167,0.716777778,0.7366,0.459461667,0.513253333,0.390003333,0.45203,0.43912,0.38755,0.67939,0.442105
442,0.49993213,0.635624286,0.843612,0.598359231,0.545254444,0.680061389,0.716583889,0.73663,0.459423333,0.513195833,0.38992,0.451945,0.43911,0.38747,0.67964,0.442055
